data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-07,Latam Pass,aereo,0,BRL,Indisponível,2026-06-07
2026-06-08,Latam Pass,aereo,0,BRL,Indisponível,2026-06-08
2026-06-09,Latam Pass,aereo,0,BRL,Indisponível,2026-06-09
2026-06-10,Latam Pass,aereo,0,BRL,Indisponível,2026-06-10
2026-06-11,Latam Pass,aereo,0,BRL,Indisponível,2026-06-11
2026-06-12,Latam Pass,aereo,0,BRL,Indisponível,2026-06-12
2026-06-15,Latam Pass,aereo,0,BRL,Indisponível,2026-06-15
2026-06-16,Latam Pass,aereo,0,BRL,Indisponível,2026-06-16
2026-06-17,Latam Pass,aereo,0,BRL,Indisponível,2026-06-17
2026-06-18,Latam Pass,aereo,0,BRL,Indisponível,2026-06-18
2026-06-19,Latam Pass,aereo,0,BRL,Indisponível,2026-06-19
2026-06-22,Latam Pass,aereo,0,BRL,Indisponível,2026-06-22
2026-06-23,Latam Pass,aereo,0,BRL,Indisponível,2026-06-23
2026-06-24,Latam Pass,aereo,0,BRL,Indisponível,2026-06-24
2026-06-25,Latam Pass,aereo,0,BRL,Indisponível,2026-06-25
2026-06-26,Latam Pass,aereo,0,BRL,Indisponível,2026-06-26
2026-06-29,Latam Pass,aereo,0,BRL,Indisponível,2026-06-29
2026-06-30,Latam Pass,aereo,0,BRL,Indisponível,2026-06-30
2026-07-01,Latam Pass,aereo,0,BRL,Indisponível,2026-07-01
2026-07-02,Latam Pass,aereo,0,BRL,Indisponível,2026-07-02
2026-07-03,Latam Pass,aereo,0,BRL,Indisponível,2026-07-03
2026-07-06,Latam Pass,aereo,0,BRL,Indisponível,2026-07-06
2026-07-07,Latam Pass,aereo,0,BRL,Indisponível,2026-07-07
2026-07-08,Latam Pass,aereo,0,BRL,Indisponível,2026-07-08
2026-07-09,Latam Pass,aereo,0,BRL,Indisponível,2026-07-09
2026-07-10,Latam Pass,aereo,0,BRL,Indisponível,2026-07-10
