data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-07,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-07
2026-06-08,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-08
2026-06-09,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-09
2026-06-10,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-10
2026-06-11,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-11
2026-06-12,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-12
2026-06-15,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-15
2026-06-16,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-16
2026-06-17,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-17
2026-06-18,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-18
2026-06-19,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-19
2026-06-22,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-22
2026-06-23,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-23
2026-06-24,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-24
2026-06-25,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-25
2026-06-26,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-26
2026-06-29,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-29
2026-06-30,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-06-30
2026-07-01,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-01
2026-07-02,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-02
2026-07-03,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-03
2026-07-06,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-06
2026-07-07,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-07
2026-07-08,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-08
2026-07-09,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-09
2026-07-10,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-10
2026-07-13,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-13
2026-07-14,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-14
2026-07-15,Itaú Personnalité,banco,30.0,BRL,Valor do ponto: R$ 0.03 | Taxa conversão: 1.0,2026-07-15
